EUS,London Euston
MAN,Manchester Piccadilly
KGX,London Kings Cross
LDS,Leeds
PAD,London Paddington
BTN,Brighton
WAT,London Waterloo
PMH,Portsmouth Harbour
VIC,London Victoria
LST,London Liverpool Street
NRW,Norwich
STP,London St Pancras
NOT,Nottingham
BHM,Birmingham New Street
EDB,Edinburgh Waverley
GLC,Glasgow Central
SHF,Sheffield
LIV,Liverpool Lime Street
NCL,Newcastle
YRK,York
INV,Inverness
ABD,Aberdeen
GLQ,Glasgow Queen Street
DUN,Dundee
CDF,Cambridge
EXD,Exeter St Davids
PNZ,Penzance
SOU,Southampton Central
AFK,Ashford International
CBG,Cambridge
PBO,Peterborough
DBY,Derby
LEI,Leicester
OXF,Oxford
RDG,Reading
BSK,Basingstoke
DND,Dundee
BTH,Bath
